account_age,monthly_spend,TotalCharges,plan_type,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,support_tickets,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,customer_id,churn_label
23,12.169887642924763,145.23511010410198,2,1,1,0,0,3,19.630860220030947,64.04791230426866,27,0,1.742696347909828,9,0,23,0,1,7O0U49OF9M,0
24,12.169887642924763,310.46702447500434,2,1,1,0,0,2,15.431673030605808,65.11007500357869,31,4,2.898327886528814,1,1,16,0,1,KWCJPZTMBZ,1
87,15.000899788532776,1305.0782816023516,1,0,1,2,1,2,37.83699164157948,121.85215558143412,29,0,4.647866618430838,4,0,13,0,1,A92ZOG2V1J,0
63,6.635013133011577,614.1966063716278,1,1,0,2,1,1,35.34919183774297,172.6618112615645,32,1,1.0117453569134436,6,0,20,0,1,RZUWX2CJ0Q,0
78,19.852110570721035,1548.4646245162407,0,2,1,1,0,2,29.40402475928132,80.22383068354559,13,1,2.274722005413115,2,1,0,1,1,VJN9GFI0OP,0
97,13.48847457664928,1308.3820339349802,2,3,1,2,1,2,23.75808451173184,56.56707686243463,20,0,2.898327886528814,7,1,3,0,1,LNQN935XS9,1
2,15.426668190323372,30.853336380646745,1,2,0,2,0,1,31.323503280378333,152.0381778776287,41,1,2.597518511086008,3,1,24,1,1,S0QK1ZQ4ZB,0
85,15.034775599045052,614.1966063716278,1,3,1,0,1,2,10.55981728464131,69.41633740528245,37,2,4.270866362857641,2,0,21,0,1,X0MDEL63NZ,0
89,15.37183293775692,614.1966063716278,2,1,0,0,0,1,30.170199239850984,176.56925376817549,41,1,1.0694673415242488,6,0,5,0,1,4T29LDSLLN,0
77,7.780374374436769,599.0888268316312,0,1,1,2,1,0,23.81261425762337,62.44375432751656,28,0,4.792037837995127,4,0,0,1,1,318N9SO05V,1
113,19.61499197448325,2216.494093116607,0,1,0,2,0,1,29.14664661143008,83.65440622475244,24,3,3.18802084888976,3,1,8,1,1,CBDV730UOG,0
8,12.169887642924763,51.21753685131792,1,3,0,0,1,3,31.286757599044304,54.57718275763445,47,1,4.568875141081065,0,0,8,0,1,VCB3X9ZM3S,0
103,10.72652906711127,1104.832493912461,2,0,1,2,1,2,20.755264400793383,115.098616798753,15,2,2.087612906686388,9,1,11,0,1,4TXBLWD375,0
76,8.794010017425707,614.1966063716278,0,1,0,1,1,1,24.40932020191881,161.45067852325676,27,3,1.274403987642387,0,1,13,0,1,J2ZTONJLMC,0
106,14.24087124250168,1509.532351705178,2,1,0,2,0,0,15.288274315885134,59.98049838247941,35,3,2.898327886528814,3,1,13,0,1,0KJGVNJL8N,0
7,12.493820459927742,87.45674321949419,1,1,1,1,0,3,14.224183704705103,95.4209057512576,36,0,4.337422212878522,6,1,4,0,1,5JBY0JE8LF,0
82,12.169887642924763,614.1966063716278,2,1,1,2,1,2,37.79171269856935,117.24086935873112,37,1,2.898327886528814,0,0,11,1,1,56V1FDEX23,0
26,12.633261108284174,328.4647888153885,0,0,1,1,1,1,25.53507700044215,155.67576810534135,37,1,2.3234199409961307,0,0,20,1,1,SCEJCH4OP4,1
66,13.751909490384248,907.6260263653604,0,0,1,1,0,1,20.39577293671369,102.4710880578844,42,3,2.430666670590388,6,1,4,0,1,EB0W1QH7VZ,0
37,15.41815522623574,614.1966063716278,0,1,1,2,1,0,38.25352607881618,70.51122846066578,20,3,4.198958694484318,9,1,21,1,1,S5WIVFDNN0,0
72,14.910685765173415,1073.569375092486,0,1,1,2,1,1,26.28452440312375,38.17272233147202,37,3,4.397418070128925,0,1,16,1,1,AZAQP5JFUX,0
18,15.622713707928243,281.20884674270843,2,0,1,0,1,2,27.032723149521026,53.38442130649877,35,1,4.823201147092407,2,0,6,0,1,94GUYMPU6T,0
105,14.770331511590785,1550.8848087170325,2,2,0,1,0,2,22.18689102743464,113.69526861982604,44,3,4.781657655972802,5,0,12,1,1,0H9S6H654F,0
20,6.880638282778266,614.1966063716278,1,1,0,2,0,0,28.1204665445764,156.81588274842923,42,1,3.5058337375635764,4,1,12,1,0,FH0H23YW0M,0
45,18.51943603089383,833.3746213902223,1,1,1,2,0,0,25.07038796175069,110.35997094459236,14,4,3.883595451712859,0,1,7,1,1,IUW1HLES8S,1
15,7.465709217067742,111.98563825601612,2,0,0,0,0,0,20.453793134132155,77.54316293007034,0,3,1.070033825144502,6,0,8,0,1,E6LQV6844N,0
74,12.169887642924763,861.7870609024834,2,1,0,0,1,0,12.399784853548711,114.40517551602056,17,4,3.107525294056259,8,0,6,0,1,59G4MT5L0S,0
46,9.791247181094892,450.39737033036505,0,0,1,0,1,2,33.68800512862189,111.83169639823824,25,1,2.0800260357006044,6,0,10,0,1,PRI44P2JBT,0
62,9.796647367960356,607.3921368135422,2,2,0,2,0,1,38.47671814433908,97.46887977509935,22,1,2.898327886528814,7,0,2,0,1,MMNA6RJYF5,0
19,18.4359708211912,350.28344560263275,0,1,0,0,1,1,2.4838697993021905,173.70379720765953,22,0,2.898327886528814,0,0,24,0,1,HKLEITP1IA,0
6,9.523391902793827,57.14035141676297,1,1,0,1,1,0,25.28678129535825,44.07854950880273,8,0,2.898327886528814,0,0,2,0,1,T2ED1KDVR6,0
23,7.72548589747683,177.68617564196708,0,1,0,2,0,1,19.59306914873033,32.36622394010151,7,1,3.1016833237109043,0,0,20,0,1,DFIYIYM3TK,0
109,11.305518353339531,614.1966063716278,2,0,0,0,1,2,35.449429642459165,163.47997195935758,43,0,3.938040847586408,2,1,8,1,1,FZRJKPERVZ,0
26,11.209422074926596,291.4449739480915,0,0,0,1,1,3,5.228049854115215,22.44377291373981,24,0,3.1983717045701776,0,1,18,0,1,OAWTET09CW,0
119,13.502818692542355,614.1966063716278,2,2,1,2,1,2,12.111862390268156,12.49848119461238,26,2,3.455806596355476,7,0,22,1,1,KM2QC8SV7C,0
45,7.738310174232479,348.2239578404616,0,2,0,2,0,2,26.94994499253555,57.08792657124925,40,3,3.569271084495916,7,0,6,1,1,U7BU2SCCHI,0
111,12.169887642924763,1259.004388697121,1,0,0,1,1,1,38.25103033944436,142.52112960853452,13,1,4.24328076241142,7,1,15,1,1,53S9CYHTXM,0
104,6.732794665165834,614.1966063716278,1,3,0,0,1,0,21.263146026496035,49.51944256364908,43,0,2.898327886528814,7,1,6,0,1,KFXH24VCIX,0
110,12.169887642924763,1412.0448147554584,2,1,0,0,0,0,27.64704282302408,100.4340654839757,43,0,3.438805869644558,5,1,8,0,1,QDLZNIKBDV,0
67,12.90821229112442,864.8502235053362,1,0,1,0,1,0,10.821285023113234,23.244959103073377,17,4,2.538593485203901,1,1,20,1,1,VOLEP42RI4,0
105,5.236173024650985,549.7981675883534,0,1,0,0,0,1,11.59964825286882,61.33455709410255,19,1,2.135444217046408,9,1,3,0,1,2PV3FKTEN7,0
45,5.062338714057963,227.8052421326084,0,1,0,0,0,1,29.512398661672066,86.60190000273313,24,4,1.2554063020314763,4,1,3,0,1,BAHIPO8823,0
12,19.64808306724581,235.77699680694977,1,2,1,1,1,1,12.55071309277034,169.23743385172318,21,3,4.365473530497493,5,1,22,1,0,XIB5D3UHRB,0
105,9.182763472386728,964.1901646006064,0,2,1,1,1,0,24.43151034759372,91.3734235281412,49,1,2.898327886528814,4,1,0,0,1,G48SX3KH6A,0
11,12.169887642924763,614.1966063716278,0,2,0,1,0,0,39.29819412529325,48.35721110573631,46,3,2.9625426064976086,9,0,0,1,1,8CGM9OR85P,0
52,11.280972210517136,614.1966063716278,2,1,0,2,0,3,3.688284056800218,64.0773515497817,7,2,2.898327886528814,1,1,19,1,1,ZXKZKRKVDN,0
21,16.673054107134362,350.1341362498216,1,1,0,0,1,2,33.271237927537186,96.7762621366086,44,1,3.175287540857471,8,1,22,1,1,NF9RGTY4VD,0
16,9.322244538046045,149.15591260873668,0,1,0,2,0,0,21.436778832844816,173.1410030561647,7,3,2.5514801178914777,4,1,8,1,1,YA70YL4HCM,0
25,14.68055910357458,367.01397758936446,2,0,1,2,1,2,14.511512165103603,122.7981832592693,24,2,2.898327886528814,0,1,5,0,1,RR7DWPO17O,0
92,14.776023905141212,1359.3941992729915,1,1,1,1,0,1,6.164060982550646,96.45780218698702,30,2,1.8982458871316648,3,1,3,0,1,HBUU9YXPD0,0
80,12.169887642924763,1070.7162512219377,0,0,0,2,1,1,17.35247004079642,35.435589839550794,12,1,2.898327886528814,7,1,0,1,1,OXNDMG3NC7,0
98,7.94007970919259,778.1278115008738,2,1,1,2,0,1,12.554392405429686,46.5674277837852,12,1,2.4847051004952028,4,1,21,1,1,GBJGLPXBR5,0
22,15.205564993669649,334.52242986073225,0,1,0,0,0,0,2.7249972939554308,159.09360131207944,15,3,2.898327886528814,9,1,11,1,0,PM332INSGW,0
19,6.521996932713357,614.1966063716278,1,1,0,2,1,0,10.757916034652332,99.7233410991908,47,2,4.660409874831865,7,1,11,0,0,KGZIUGKUB6,1
104,8.063300806759333,838.5832839029706,1,1,0,0,0,0,11.753479113006614,109.113551655722,42,1,4.36441915857977,1,1,9,1,1,2DBPXLKT8K,0
85,12.169887642924763,1294.04700533529,2,0,0,2,1,1,15.655304055873184,81.58150329841074,27,2,2.080307514259071,9,0,1,0,1,55VANP455P,0
62,19.156984627671672,1187.7330469156436,2,1,1,0,1,2,24.93478276959797,18.6057246782046,5,2,4.266681695700271,3,0,13,1,1,3MBK6VMOCV,0
1,12.169887642924763,13.01210092215553,1,0,1,1,0,1,25.073791634726145,52.56780586243679,28,0,4.284239136762995,9,0,12,0,1,UW8ES4IYMI,0
14,14.268111725937782,199.7535641631289,1,2,0,0,0,0,11.248568751983774,62.58552280552126,34,1,2.876019105018504,3,0,2,0,0,VPJBEYNWQS,1
31,17.245287882333926,534.6039243523517,1,0,1,1,1,2,28.835836887334413,145.01617575065148,42,4,2.898327886528814,8,1,2,1,1,5YJC1ZTRTJ,1
86,11.729898655737578,1008.7712843934318,0,1,1,2,0,2,3.794326864539248,121.4418677441892,21,3,2.898327886528814,4,1,5,0,1,HM6617H4JD,0
33,11.506819737723454,379.725051344874,1,2,1,1,0,1,23.772941097797805,169.57575794711633,9,2,2.8574832958943435,2,0,23,1,1,O3LM1DJEII,0
49,8.357330395067056,409.5091893582857,1,0,1,1,1,2,35.839673743047,93.49504256792648,0,3,2.898327886528814,5,1,19,0,1,2LZWV9RQL8,0
53,8.920732965150389,472.7988471529706,2,0,0,1,1,2,28.78212104313832,165.79541674753295,43,1,4.858662580996414,0,0,18,1,1,V7E9XNI9DF,0
63,9.631315044544966,606.7728478063328,2,2,1,1,1,0,9.49095715075722,11.837806998583426,16,1,4.322046814619904,1,1,21,1,0,QHBAXJ9D6V,0
14,7.969210909385966,111.56895273140351,1,0,1,0,1,0,3.251119998800055,15.535141512655802,15,1,2.210262189516649,7,1,14,0,1,9C3BD8HX0R,1
26,12.169887642924763,338.28100550830595,0,2,0,0,1,2,31.794071232112564,116.06322243762814,35,1,1.472555720792521,8,0,7,1,0,DLTHWP80D3,0
2,16.125401389212946,614.1966063716278,0,0,0,2,1,1,24.74981585981924,11.988765017280857,30,1,1.2248326147590491,2,0,4,0,1,VK85180DSE,1
15,7.745146161144696,116.17719241717045,1,2,0,2,0,3,22.5710430258967,155.52074908996784,40,4,4.120521121540612,9,1,19,1,1,2P78X3TX9B,0
80,12.762559237031072,1021.0047389624858,1,2,0,0,1,0,33.81220538514383,146.68215399903642,31,3,2.2521787780673628,9,1,22,1,1,5CM0GI004I,0
93,13.580876198604964,1263.0214864702616,0,2,0,0,0,0,22.00460464726173,114.89723449821854,43,4,4.529921641315267,4,1,6,0,1,W2YUKP9QMF,0
28,12.169887642924763,614.1966063716278,1,1,1,2,0,1,37.76481999080919,96.31058633141733,30,1,2.898327886528814,2,1,6,1,1,V6CRGUK7OJ,0
87,6.800976410758331,591.6849477359748,1,1,1,0,0,0,32.51290337287777,67.76475082097075,0,0,2.7050433200408506,9,1,12,1,1,JHYZISEKTU,0
58,12.169887642924763,1062.151084887055,1,1,1,2,0,0,6.1176464722420345,177.97499001868746,4,4,1.5459590401207093,8,1,17,1,1,P3ZXPQP59E,0
94,7.489711342172975,704.0328661642596,2,2,0,2,1,0,20.264660460024245,116.68683250974044,18,2,2.898327886528814,4,0,11,0,1,3U07QWB58B,0
52,12.169887642924763,797.3032724449764,0,1,1,2,0,2,39.62781715118556,174.88358482869077,46,1,3.426816130002326,8,1,9,1,1,2O9NN81OX5,0
13,16.749766340499775,217.74696242649708,2,2,1,2,0,1,9.42680451784198,173.18631891920054,3,0,1.2271980812273595,5,1,5,0,1,UY02SJT9FM,0
20,12.169887642924763,396.4126392253672,1,1,0,0,0,0,17.021663801544207,160.97388792871337,18,1,4.49573705466908,4,0,8,0,1,SLTZTHJFZ9,1
103,16.514646857031412,1701.0086262742354,1,1,0,0,0,3,6.575285946461973,75.52050710701525,39,4,1.8762405774716693,1,0,18,0,0,4R07E19QKU,0
62,12.169887642924763,842.7120724376942,0,1,0,0,0,2,34.49848201108829,65.21043318193,30,1,3.5478001635599026,4,0,24,1,1,MH6D9EWVID,0
23,12.169887642924763,170.58034663839652,2,3,0,0,1,2,34.00190182214139,153.6770469787932,42,4,2.6129994825630742,9,1,13,0,1,7HY2MOSDW6,0
65,18.27930491357521,1188.1548193823887,2,1,1,1,0,1,31.138272354964933,141.43190722782916,30,3,2.898327886528814,9,1,16,0,1,ZTOJZGRVC4,0
75,13.30898090330066,998.1735677475496,0,0,0,0,1,1,24.31852704020134,119.33690525089314,47,1,3.0229185822407323,5,1,17,0,1,A931RZPGP2,0
43,7.680618304577466,330.2665870968311,2,0,0,0,0,1,18.286665215694097,149.80190601471733,39,1,1.4288137836055488,0,1,19,0,1,R4SINC9IQZ,0
45,14.303487059125194,614.1966063716278,1,1,1,1,1,3,32.53521490963664,65.25669399818736,15,2,2.898327886528814,6,0,5,0,1,7NXSSI06MN,0
48,18.780445107422267,901.4613651562688,2,1,1,1,1,0,22.3039554734021,29.89036403580573,1,2,1.446495965163057,2,1,1,0,1,DM6BMTS1AS,0
19,12.169887642924763,168.5997531115657,0,2,0,0,0,0,38.61154741669043,143.30530521083986,8,1,1.3895619220636126,8,0,22,1,1,KBG5OB2YIW,0
39,12.169887642924763,683.951795291824,1,1,1,0,1,1,11.5606688474968,13.485059337505904,32,3,1.049661731490065,9,1,14,1,1,RSZFX28GG3,1
44,12.169887642924763,752.6633455048209,1,2,1,1,0,3,35.68046040870127,49.354601871260506,48,3,2.898327886528814,9,1,20,1,1,4PCP1V37SI,0
31,5.463793811782976,169.37760816527225,2,0,1,0,1,0,10.31299563070547,92.14099146893328,5,1,4.626314253835056,5,0,24,1,1,SCFG260GEA,0
71,5.084423904802613,360.9940972409855,2,2,0,1,0,1,8.174093809914606,70.25383064222262,25,3,1.2465992161682706,2,0,14,1,1,NRLC9JJS9S,0
5,12.169887642924763,57.24876996500478,1,0,0,0,1,0,15.579982226317355,115.70888850048564,40,0,2.898327886528814,2,1,17,0,1,B6SIIXSQOS,0
43,8.865387683501357,381.2116703905584,1,1,0,1,0,1,35.3777249358419,115.10533415456264,37,1,2.898327886528814,8,1,3,0,1,J647T7HQQL,0
64,6.190149535602858,614.1966063716278,1,2,1,1,1,0,26.094800371746057,90.24929986396717,44,3,1.9160888756880632,0,1,1,1,1,AH3L1MRZRR,0
80,12.169887642924763,614.1966063716278,1,1,0,2,1,0,1.5662312590939051,99.92343722938276,23,1,2.3884356148158736,0,1,13,1,1,4PX89Y1RQA,0
106,18.95105440126732,2008.811766534336,0,2,1,0,0,2,34.25790597133126,139.01892793847654,21,2,4.202215048246207,5,0,18,1,1,3FDWNZRH2D,0
46,10.128836100800292,465.92646063681343,1,1,0,2,0,2,33.53672268026051,37.76650423808584,18,2,4.753683293430516,9,1,9,0,1,Y7Q0UE0U1M,0
9,12.169887642924763,154.49158903519094,1,2,0,0,0,0,16.979580864388332,150.5060986445366,41,2,1.7312580133378588,6,1,0,0,1,HN78JG14TS,0
100,12.169887642924763,1142.9418185007523,1,2,0,2,1,2,10.594691998838014,33.21299683768329,31,0,1.050604389943067,0,1,16,0,0,74YHNQ6G75,0
98,19.02152488578505,614.1966063716278,0,0,1,0,0,1,1.380466745351029,91.870700788936,17,4,2.898327886528814,9,0,13,0,0,RLNIID3XWT,1
39,7.520022143067342,293.2808635796263,1,2,1,0,1,2,30.17973628841128,81.08144911749876,26,3,4.897123983772078,0,1,4,1,1,87D7OLH270,0
70,10.482003484994912,733.7402439496439,2,1,1,2,0,1,11.567204948868754,42.77790509535797,1,3,2.573195943422459,8,1,5,1,1,P6L806SMU4,1
29,9.610559155800727,278.70621551822114,2,2,0,0,0,0,25.45759865676794,99.44781816116422,15,3,2.6821928546425933,5,1,9,1,1,FCTLMSLMQJ,0
92,10.364502517846944,953.5342316419188,1,1,1,2,0,1,29.727838985431347,39.91319918862807,13,1,1.2935675294269329,0,0,18,1,1,G3AKTVZVV9,0
109,7.418513931584568,808.618018542718,0,2,1,1,1,1,7.686830377951292,131.44252948316043,30,3,2.898327886528814,1,1,7,1,1,7L6GJZ94PQ,0
92,14.450433995442438,1329.4399275807043,1,2,0,0,1,1,9.640879895936832,86.4871522254564,13,4,4.273449537731969,8,0,17,0,1,Z8H53DC791,0
16,5.173754551461478,82.78007282338365,1,1,1,0,0,1,4.833288617556521,127.70950212604666,13,4,2.18336052939857,3,0,10,1,1,MSSFBJYVA5,0
47,8.922393723561846,419.3525050074068,2,3,0,1,0,3,30.65890865280438,8.829009066615566,28,1,2.898327886528814,6,1,8,1,1,UMFLMSRD0Q,0
40,13.607754438358882,544.3101775343553,2,2,1,2,1,3,31.42253253433765,39.2363328695568,13,4,3.5387373848341848,0,1,18,0,0,YSBXJUEX0T,0
81,10.975714331761695,889.0328608726974,1,0,1,2,1,0,18.35221026046252,86.23345361085529,19,4,3.020792195384864,1,1,19,0,1,4RAT7BS0L4,0
118,10.477516749557084,614.1966063716278,0,1,1,0,1,0,28.85581404901848,144.7643052447273,33,1,4.928149986125957,5,1,7,0,1,QMSBTHUBOD,0
13,18.409014051747683,239.31718267271987,2,1,0,2,1,2,18.44881545302228,69.8504778399645,21,3,4.09182405463898,0,1,2,0,1,1LI3AQJFP6,0
103,16.198210690955932,614.1966063716278,2,0,1,1,0,1,32.12117345369401,128.92730655491255,16,1,3.888005639689029,5,1,16,1,1,P0UW71OPWI,0
82,14.215460489603572,1165.667760147493,1,2,0,1,1,0,14.402982505534457,153.30210340965007,1,0,4.145493421814485,3,1,15,0,1,4C9VVJ76OX,0
2,6.895624252307624,13.791248504615249,0,2,0,2,1,1,30.042512752961187,124.1554327377488,22,3,2.898327886528814,0,1,16,0,0,D36302KBBA,1
86,10.32131524641283,887.6331111915034,2,1,1,0,0,3,11.23621056596544,37.07966082114843,24,4,2.628611966149048,8,0,21,0,1,FS3L3723G0,0
80,12.99789303201885,1039.831442561508,2,3,0,1,0,0,22.69124873576752,179.5956048834294,45,3,3.492155530246451,5,0,13,0,0,3OYMTQDGCI,0
94,11.45367236984088,614.1966063716278,1,2,1,2,1,2,31.43867190050515,125.92560780374546,37,0,2.898327886528814,1,1,6,0,1,PQ3OE3IV47,0
93,19.6513614264696,1827.5766126616727,2,1,1,1,0,2,1.653820166516171,143.17168004088236,38,1,3.755643536539377,8,1,15,0,1,959FN5DIWG,0
95,12.169887642924763,1731.9115998647596,2,1,0,0,0,2,15.761617681574306,71.32438099145163,1,2,2.001727095616576,4,1,6,1,1,76ILSKGTXV,0
97,18.741364823706007,1817.9123878994824,2,1,1,1,1,2,31.52822319813225,29.49199216102492,29,2,2.5640173235897814,3,1,14,1,1,CCZLTRQXUN,0
85,16.06581166298571,1365.5939913537852,2,1,1,1,0,1,2.047874810807236,69.4447054569772,39,2,3.1228854749881965,1,1,16,0,1,RW8BHOP2GW,1
5,18.401244873390283,92.0062243669514,0,0,1,2,0,0,36.19593218966247,122.3675914914066,26,2,4.521395914585156,3,0,13,1,1,NWRCRG0LLN,0
104,9.660164387065931,614.1966063716278,0,1,0,1,1,1,6.983209290198909,68.58594402499028,1,3,1.346854554167301,6,0,5,0,0,0N2YDSLDKE,0
96,11.310696886913192,1085.8269011436664,1,3,0,2,1,2,36.97431597550251,84.24406552286727,1,1,3.6045726320075726,6,0,0,0,1,8Y4EB81DID,0
84,18.65108583639656,1566.6912102573106,2,0,0,1,1,2,23.665462280442,32.91343925428535,13,0,3.94258340926798,5,1,11,1,1,W4D82JGRSR,1
10,12.169887642924763,614.1966063716278,2,1,1,1,1,0,19.86516821782215,77.53799117634372,34,1,2.898327886528814,7,1,20,0,1,86F5GYIU4B,0
70,17.11669827429529,1198.1688792006703,0,1,1,2,0,1,25.446577588203148,166.72885321847707,23,1,4.436424583710124,0,0,8,1,1,GSY02BHXUI,0
96,5.126881608910928,492.1806344554491,1,1,1,0,0,0,22.10971491494528,40.86941156202512,34,2,1.792938023192984,4,0,19,0,1,T5A5GUDGHH,0
55,12.228522320554733,672.5687276305104,0,1,0,0,0,0,14.318670979436916,165.3747234937333,25,1,3.1319412122999046,7,1,9,0,1,JXCF0T7PWE,1
109,8.024188057163144,874.6364982307828,1,1,0,0,0,3,1.0325657591694517,73.87243499744919,28,4,2.898327886528814,3,0,17,1,1,1SEDHZRPXU,0
117,18.625728153333483,2179.2101939400177,2,2,0,0,0,3,15.474087924390153,140.27547080408934,17,4,3.348487273646719,5,1,15,0,1,3KLVFZM7OJ,0
74,9.040513990630396,668.9980353066493,0,2,0,0,0,0,30.11386785028866,130.54074184839573,44,4,2.3157375624273,2,1,10,0,1,68ZNRI2572,0
77,12.169887642924763,614.1966063716278,2,1,1,2,0,1,35.74416675954362,135.24173516298126,42,3,1.5451095690373546,9,1,3,0,1,W813C4GC5Q,0
74,9.687673669390394,716.8878515348891,0,0,0,2,0,0,10.063284669012688,68.15792539635528,34,0,2.898327886528814,5,1,14,0,1,570S7DXPHT,1
89,11.538943079309188,614.1966063716278,1,0,1,0,1,0,12.590745480970348,171.2166008382964,19,1,2.898327886528814,7,1,6,1,1,UOVRUIE484,0
110,13.275556672453767,1460.3112339699144,1,2,1,2,0,2,32.863600886276714,149.45828503484972,35,3,2.4628130661552894,6,1,8,0,1,1QFYKNRAMM,0
14,12.169887642924763,268.3102571763353,1,1,0,2,0,1,31.44414095826228,111.65433497474172,47,4,1.6816039518745294,4,1,10,0,1,FKYXDCALD8,0
63,12.169887642924763,521.2231094623443,1,0,1,1,0,0,27.964468052712537,8.537577246647672,4,2,2.898327886528814,8,1,3,0,1,YFT2PG26WZ,0
102,12.169887642924763,1797.5552460577992,0,0,1,2,1,1,32.71206052144677,92.83601561218305,46,2,1.257418011728567,6,0,22,1,1,CS2FZRYU8L,0
45,13.073215564280291,588.2947003926131,0,0,0,0,1,0,14.793402920168504,109.2614243711754,20,4,2.086339035975909,1,0,13,0,1,XQ9ABXGKJ2,0
59,12.169887642924763,718.0233709325611,0,0,0,1,0,0,28.54828621753999,32.32727760351119,14,3,2.898327886528814,1,0,16,1,1,2320A0GXKQ,1
115,5.683634966215998,653.6180211148398,2,2,0,1,1,2,6.128048068458834,50.259083084168935,0,3,1.7944443167469752,4,1,22,0,1,MGW74TNB92,0
99,17.856791113328292,614.1966063716278,2,2,1,0,0,1,8.723655812895966,168.80031254270938,17,0,4.456910702865898,9,1,14,0,1,V8CKCGJ5E8,0
73,5.755528321486168,420.1535674684903,0,3,0,2,1,1,26.87265849457565,121.82962049201288,40,4,2.264428640243489,4,1,24,0,1,S16BCT80VU,0
62,11.001062848759512,682.0658966230898,0,1,1,0,0,0,3.87212932625154,133.51843976624818,22,1,1.0532467646559964,0,0,6,1,1,BMKC2PJE7U,0
6,7.153641033648821,614.1966063716278,2,2,1,0,1,0,8.012984647227208,113.36101591998688,48,3,3.854250803773212,7,1,11,1,1,191490BP7I,0
93,10.190029622580925,947.6727549000258,0,0,0,0,0,2,38.0854226363024,101.05573627439728,42,1,2.898327886528814,0,0,18,1,1,66V1KPHQMM,0
30,12.169717082033609,614.1966063716278,1,1,1,0,1,1,5.542226920354583,68.76965172922863,41,2,2.6911529231108244,6,1,9,1,1,G55J3RXYSJ,0
5,8.91888499717453,44.59442498587265,1,0,0,1,0,2,29.148323435745315,89.33032327098728,4,4,2.898327886528814,5,1,13,1,1,CLJPBTJR01,1
